"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","20.67","1800055879.44","n/a","China","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"JOBS","51job, Inc.","31.7","1868544802.7","n/a","China","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"ATV","Acorn International, Inc.","5.35","3332370.55","n/a","China","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv",
"ACTS","Actions Semiconductor Co., Ltd.","1.6","70906345.6","n/a","China","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"GRO","Agria Corporation","0.9642","53400577.86","n/a","China","2007","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/gro",
"AMCN","AirMedia Group Inc","5.3","338304448.4","n/a","China","2007","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"BABA","Alibaba Group Holding Limited","79.89","199365417986.04","n/a","China","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/baba",
"ACH","Aluminum Corporation of China Limited","8.53","5085175954.37","n/a","China","2001","Basic Industries","Aluminum","http://www.nasdaq.com/symbol/ach",
"ALN","American Lorain Corporation","1.18","45146198.2","n/a","China","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"ABAC","Aoxin Tianli Group, Inc.","0.67","22232610","n/a","China","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/abac",
"ATAI","ATA Inc.","5.86","134503355.26","n/a","China","2008","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atai",
"BIDU","Baidu, Inc.","190.76","66015286911.2","n/a","China","2005","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/bidu",
"BZUN","Baozun Inc.","6.2","313040827.2","n/a","China","2015","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/bzun",
"BSPM","Biostar Pharmaceuticals, Inc.","1.46","3227932.98","n/a","China","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bspm",
"BITA","Bitauto Holdings Limited","27.54","1743593036.76","n/a","China","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/bita",
"CSIQ","Canadian Solar Inc.","19.04","1065582034.72","n/a","China","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/csiq",
