Date,Open,High,Low,Close,Volume,Adj Close
2016-04-22,9.11,9.11,9.11,9.11,000,9.11
2016-04-21,9.11,9.11,9.11,9.11,000,9.11
2016-04-20,9.11,9.11,9.11,9.11,000,9.11
2016-04-19,9.11,9.11,9.11,9.11,000,9.11
2016-04-18,9.11,9.11,9.11,9.11,000,9.11
2016-04-15,8.91,9.58,8.81,9.11,28280000,9.11
2016-04-14,8.63,8.93,8.55,8.91,14814000,8.91
2016-04-13,8.66,8.74,8.56,8.57,12555300,8.56
2016-04-12,8.78,8.87,8.46,8.61,11518800,8.59995
2016-04-11,8.74,8.95,8.62,8.90,15851700,8.88961
2016-04-08,8.50,8.88,8.37,8.73,15786100,8.71981
2016-04-07,8.63,8.74,8.30,8.63,19719000,8.61993
2016-04-06,8.50,8.69,8.31,8.57,14998100,8.56
2016-04-05,8.00,8.66,7.96,8.57,23694800,8.56
2016-04-04,7.93,7.93,7.93,7.93,000,7.92075
2016-04-01,7.85,7.96,7.70,7.93,11060800,7.92075
2016-03-31,7.90,8.07,7.86,7.90,13155200,7.89078
2016-03-30,7.60,7.86,7.60,7.84,8930700,7.83085
2016-03-29,7.66,7.75,7.45,7.54,6955000,7.5312
2016-03-28,7.74,7.98,7.62,7.66,11437600,7.65106
2016-03-25,7.70,7.82,7.61,7.73,9138400,7.72098
2016-03-24,7.97,7.97,7.72,7.75,10851200,7.74096
2016-03-23,7.81,8.02,7.76,8.01,12346600,8.00065
2016-03-22,7.63,8.08,7.52,7.89,20650500,7.88079
2016-03-21,7.64,7.69,7.52,7.67,15137400,7.66105
2016-03-18,7.20,7.58,7.20,7.49,17256400,7.48126
2016-03-17,6.97,7.23,6.96,7.20,14223800,7.1916
2016-03-16,7.20,7.24,6.87,6.95,8417900,6.94189
2016-03-15,7.17,7.20,7.02,7.07,9973900,7.06175
2016-03-14,6.94,7.26,6.94,7.19,12796800,7.18161
2016-03-11,7.00,7.00,6.72,6.95,6005500,6.94189
2016-03-10,7.06,7.15,6.86,6.89,5966200,6.88196
2016-03-09,7.10,7.20,6.97,7.01,7647100,7.00182
2016-03-08,7.03,7.39,6.66,7.28,11296000,7.27151
2016-03-07,6.91,7.15,6.91,7.06,7138500,7.05176
2016-03-04,7.13,7.20,6.72,6.86,8799800,6.852
2016-03-03,7.15,7.33,7.09,7.09,10327600,7.08173
2016-03-02,6.82,7.25,6.80,7.20,11659800,7.1916
2016-03-01,7.22,7.22,6.70,6.91,12427500,6.90194
2016-02-29,7.19,7.19,6.51,6.57,8150600,6.56233
2016-02-26,7.27,7.38,6.98,7.23,9783800,7.22156
2016-02-25,7.95,7.95,7.26,7.26,11920100,7.25153
2016-02-24,8.11,8.15,7.77,8.07,10611400,8.06058
2016-02-23,8.08,8.16,7.90,8.06,10870000,8.0506
2016-02-22,8.10,8.18,8.00,8.13,13896000,8.12051
2016-02-19,8.01,8.12,7.94,8.00,8949800,7.99066
2016-02-18,8.23,8.27,7.95,8.01,11514100,8.00065
2016-02-17,8.10,8.18,7.98,8.13,11581100,8.12051
2016-02-16,7.72,8.18,7.69,8.09,9911000,8.08056
2016-02-15,7.31,7.74,7.30,7.66,7155300,7.65106
2016-02-12,7.67,7.67,7.67,7.67,000,7.66105
2016-02-11,7.67,7.67,7.67,7.67,000,7.66105
2016-02-10,7.67,7.67,7.67,7.67,000,7.66105
2016-02-09,7.67,7.67,7.67,7.67,000,7.66105
2016-02-08,7.67,7.67,7.67,7.67,000,7.66105
2016-02-05,7.68,7.92,7.64,7.67,9313200,7.66105
2016-02-04,7.42,7.68,7.37,7.63,10510000,7.6211
2016-02-03,7.26,7.47,7.10,7.37,7686700,7.3614
2016-02-02,7.02,7.42,7.01,7.34,7800200,7.33144
2016-02-01,7.31,7.35,6.88,7.03,6951000,7.0218
2016-01-29,6.95,7.40,6.80,7.24,10344800,7.23155
2016-01-28,7.35,7.65,6.90,6.95,11230100,6.94189
2016-01-27,7.94,7.94,7.31,7.60,17356900,7.59113
2016-01-26,8.88,8.88,8.01,8.12,15120600,8.11052
2016-01-25,8.70,8.96,8.52,8.88,13612200,8.86964
2016-01-22,8.49,8.76,8.21,8.70,15880200,8.68985
2016-01-21,8.18,8.84,8.18,8.28,15751000,8.27034
2016-01-20,8.40,8.84,8.20,8.52,15403100,8.51006
2016-01-19,7.93,8.58,7.92,8.49,15449400,8.48009
2016-01-18,7.80,8.18,7.51,7.98,14532600,7.97069
2016-01-15,8.49,8.66,7.78,7.82,14293700,7.81088
2016-01-14,7.68,8.95,7.35,8.62,21196500,8.60994
2016-01-13,8.83,8.99,8.15,8.15,21419000,8.14049
2016-01-12,9.78,10.15,9.05,9.05,23313000,9.03944
2016-01-11,10.80,11.08,10.06,10.06,32763900,10.04826
2016-01-08,10.98,11.39,10.00,11.18,37730900,11.16695
2016-01-07,11.20,11.46,10.35,10.35,9930400,10.33792
2016-01-06,10.40,11.50,10.27,11.50,40575200,11.48658
2016-01-05,8.99,10.58,8.91,10.45,33459400,10.43781
2016-01-04,10.80,11.00,9.67,9.67,26674300,9.65872
2016-01-01,10.74,10.74,10.74,10.74,000,10.72747
2015-12-31,10.30,11.33,10.22,10.74,34422000,10.72747
2015-12-30,9.85,10.36,9.77,10.30,22788600,10.28798
2015-12-29,9.49,9.90,9.30,9.86,13713700,9.84849
2015-12-28,9.61,10.05,9.46,9.50,18640400,9.48891
2015-12-25,9.28,9.58,9.25,9.54,9578300,9.52887
2015-12-24,9.29,9.38,9.03,9.26,6689300,9.24919
2015-12-23,9.60,9.65,9.34,9.36,9368000,9.34908
2015-12-22,9.57,9.64,9.45,9.60,12520100,9.5888
2015-12-21,9.25,9.72,9.20,9.59,17052700,9.57881
2015-12-18,9.49,9.49,9.16,9.27,9459700,9.25918
2015-12-17,9.25,9.45,9.16,9.45,13637000,9.43897
2015-12-16,9.09,9.37,9.06,9.16,9665600,9.14931
2015-12-15,9.01,9.18,8.95,9.09,7570000,9.07939
2015-12-14,8.60,9.08,8.53,9.06,8411500,9.04943
2015-12-11,8.80,8.83,8.56,8.68,5794000,8.66987
2015-12-10,8.85,8.99,8.75,8.80,5827300,8.78973
2015-12-09,9.00,9.02,8.80,8.84,6441500,8.82968
2015-12-08,9.39,9.39,8.93,9.03,9808000,9.01946
2015-12-07,9.43,9.47,9.22,9.42,8553700,9.40901
2015-12-04,9.36,9.60,9.27,9.40,8912600,9.38903
2015-12-03,9.35,9.58,9.21,9.46,9872500,9.44896
2015-12-02,9.70,9.70,8.97,9.30,10899000,9.28915
2015-12-01,9.28,9.90,9.18,9.70,14456700,9.68868
2015-11-30,8.96,9.29,8.48,9.26,13017100,9.24919
2015-11-27,9.56,9.95,8.75,8.93,15140300,8.91958
2015-11-26,10.05,10.10,9.30,9.68,13419300,9.6687
2015-11-25,9.76,10.02,9.70,10.00,13585600,9.98833
2015-11-24,9.55,9.84,9.35,9.76,12928200,9.74861
2015-11-23,9.40,10.10,9.33,9.66,21138000,9.64873
2015-11-20,9.25,9.55,9.13,9.42,18032300,9.40901
2015-11-19,8.95,9.18,8.89,9.18,11050600,9.16929
2015-11-18,9.04,9.23,8.89,8.89,9996600,8.87963
2015-11-17,9.17,9.38,8.92,8.98,14701900,8.96952
2015-11-16,8.51,9.12,8.48,9.11,11161800,9.09937
2015-11-13,8.98,8.98,8.60,8.77,11992900,8.75977
2015-11-12,9.16,9.30,8.95,9.07,14832100,9.05942
2015-11-11,8.85,9.48,8.78,9.22,21351100,9.20924
2015-11-10,8.70,9.00,8.66,8.87,15687700,8.85965
2015-11-09,8.70,8.95,8.50,8.83,22979700,8.8197
2015-11-06,8.17,8.95,8.14,8.73,34283200,8.71981
2015-11-05,8.16,8.20,7.92,8.14,18508000,8.1305
2015-11-04,7.65,8.08,7.63,8.08,16462800,8.07057
2015-11-03,7.68,7.80,7.52,7.62,7207700,7.61111
2015-11-02,7.80,8.05,7.64,7.70,18201100,7.69101
2015-10-30,8.00,8.29,7.64,8.02,16575400,8.01064
2015-10-29,8.08,8.08,7.82,7.99,12546900,7.98068
2015-10-28,7.91,8.08,7.76,7.77,10605500,7.76093
2015-10-27,7.87,8.07,7.50,8.00,12236200,7.99066
2015-10-26,8.11,8.18,7.90,8.00,13445000,7.99066
2015-10-23,7.62,7.98,7.62,7.92,11571300,7.91076
2015-10-22,7.28,7.64,7.28,7.60,11657600,7.59113
2015-10-21,8.08,8.08,7.28,7.28,17630700,7.27151
2015-10-20,7.61,8.10,7.60,8.09,16701000,8.08056
2015-10-19,7.88,7.89,7.56,7.66,12485100,7.65106
2015-10-16,7.92,7.98,7.65,7.86,16082900,7.85083
2015-10-15,7.50,7.90,7.45,7.90,16595100,7.89078
2015-10-14,7.32,7.94,7.22,7.65,20359700,7.64107
2015-10-13,7.28,7.50,7.12,7.46,16926100,7.4513
2015-10-12,7.00,7.55,6.95,7.37,25048800,7.3614
2015-10-09,6.64,6.90,6.61,6.86,13649800,6.852
2015-10-08,6.59,6.75,6.52,6.66,12671100,6.65223
2015-10-07,6.37,6.37,6.37,6.37,000,6.36257
2015-10-06,6.37,6.37,6.37,6.37,000,6.36257
2015-10-05,6.37,6.37,6.37,6.37,000,6.36257
2015-10-02,6.37,6.37,6.37,6.37,000,6.36257
2015-10-01,6.37,6.37,6.37,6.37,000,6.36257
2015-09-30,6.42,6.50,6.23,6.37,6542700,6.36257
2015-09-29,6.42,6.59,6.21,6.38,8892400,6.37256
2015-09-28,6.28,6.66,6.28,6.60,12336000,6.5923
2015-09-25,6.60,6.75,6.10,6.31,19340000,6.30264
2015-09-24,6.92,7.12,6.69,6.78,34606800,6.77209
2015-09-23,6.10,6.92,6.06,6.92,32046500,6.91193
2015-09-22,6.20,6.40,6.07,6.29,12010500,6.28266
2015-09-21,5.80,6.20,5.72,6.19,9253800,6.18278
2015-09-18,5.91,5.97,5.68,5.93,8051500,5.92308
2015-09-17,5.92,6.16,5.80,5.82,13182800,5.81321
2015-09-16,5.46,6.03,5.45,6.01,11053600,6.00299
2015-09-15,5.64,5.80,5.34,5.48,8642300,5.47361
2015-09-14,6.50,6.56,5.84,5.84,10235100,5.83319
