Date,Open,High,Low,Close,Volume,Adj Close
2016-04-22,37.28,38.50,36.53,38.35,3882500,38.35
2016-04-21,38.70,39.16,37.50,37.67,4846400,37.67
2016-04-20,40.76,41.35,37.00,38.21,8982300,38.21
2016-04-19,39.51,40.28,38.72,39.82,6148000,39.82
2016-04-18,40.48,40.48,38.69,39.13,5234500,39.13
2016-04-15,41.87,41.94,40.67,40.98,4327500,40.98
2016-04-14,41.73,42.13,41.24,41.90,4978000,41.90
2016-04-13,41.15,42.65,40.71,41.31,7092300,41.31
2016-04-12,41.50,41.84,40.05,40.99,4700000,40.99
2016-04-11,42.17,43.16,41.65,41.85,6653000,41.85
2016-04-08,40.99,41.86,40.32,41.52,5969200,41.52
2016-04-07,43.10,43.40,41.30,41.32,9553500,41.32
2016-04-06,40.74,43.87,40.69,42.66,13370300,42.66
2016-04-05,39.17,40.88,38.83,40.64,7996000,40.64
2016-04-04,39.00,39.00,39.00,39.00,000,39.00
2016-04-01,39.72,39.85,38.01,39.00,7505900,39.00
2016-03-31,40.00,41.28,39.70,40.02,11106800,40.02
2016-03-30,38.61,40.20,38.40,39.86,7151800,39.86
2016-03-29,39.19,39.20,37.30,38.15,7392000,38.15
2016-03-28,40.99,41.53,39.00,39.09,10640900,39.09
2016-03-25,38.53,40.66,38.51,40.53,12625500,40.53
2016-03-24,38.88,40.40,37.88,38.67,11109300,38.67
2016-03-23,40.01,40.75,38.70,39.89,11557400,39.89
2016-03-22,40.18,40.57,39.63,39.83,6816500,39.83
2016-03-21,39.88,40.97,38.97,40.90,11067400,40.90
2016-03-18,37.84,40.33,37.56,39.75,12363400,39.75
2016-03-17,34.79,37.50,34.76,37.40,9562300,37.40
2016-03-16,36.58,36.89,33.95,34.75,6317200,34.75
2016-03-15,36.01,36.30,35.42,35.50,7091500,35.50
2016-03-14,34.25,36.85,34.25,36.28,9447700,36.28
2016-03-11,31.99,33.65,31.51,33.60,4862200,33.60
2016-03-10,34.11,34.78,32.90,33.08,5004200,33.08
2016-03-09,33.55,35.03,33.40,33.68,5655600,33.68
2016-03-08,32.89,34.89,31.00,34.80,8588600,34.80
2016-03-07,32.87,34.88,32.60,33.39,6398500,33.39
2016-03-04,35.10,35.45,31.97,32.07,9717700,32.07
2016-03-03,34.06,37.50,34.05,35.52,10918500,35.52
2016-03-02,32.30,34.90,31.66,34.25,8337700,34.25
2016-03-01,31.01,33.17,29.60,32.37,7982100,32.37
2016-02-29,34.12,34.58,31.14,31.14,7323700,31.14
2016-02-26,36.10,36.49,32.60,34.60,7029100,34.60
2016-02-25,39.50,39.59,35.86,35.86,7587800,35.86
2016-02-24,38.59,39.85,37.70,39.84,7692800,39.84
2016-02-23,39.75,39.75,37.96,38.78,5733300,38.78
2016-02-22,40.00,40.22,38.80,39.85,7963000,39.85
2016-02-19,38.55,40.80,38.41,39.69,7570500,39.69
2016-02-18,39.62,40.24,38.70,38.70,5789700,38.70
2016-02-17,39.63,40.08,38.52,39.57,9910200,39.57
2016-02-16,39.10,40.97,39.01,40.28,7325900,40.28
2016-02-15,35.50,40.00,35.50,39.56,7124100,39.56
2016-02-12,37.00,37.00,37.00,37.00,000,37.00
2016-02-11,37.00,37.00,37.00,37.00,000,37.00
2016-02-10,37.00,37.00,37.00,37.00,000,37.00
2016-02-09,37.00,37.00,37.00,37.00,000,37.00
2016-02-08,37.00,37.00,37.00,37.00,000,37.00
