Date,Open,High,Low,Close,Volume,Adj Close
2016-04-12,68.32,68.32,68.32,68.32,000,68.32
2016-04-11,68.32,68.32,68.32,68.32,000,68.32
2016-04-08,68.32,68.32,68.32,68.32,000,68.32
2016-04-07,68.32,68.32,68.32,68.32,000,68.32
2016-04-06,68.32,68.32,68.32,68.32,000,68.32
2016-04-05,68.32,68.32,68.32,68.32,000,68.32
2016-04-04,68.32,68.32,68.32,68.32,000,68.32
2016-04-01,68.32,68.32,68.32,68.32,000,68.32
2016-03-31,68.32,68.32,68.32,68.32,000,68.32
2016-03-30,68.32,68.32,68.32,68.32,000,68.32
2016-03-29,68.32,68.32,68.32,68.32,000,68.32
2016-03-28,68.32,68.32,68.32,68.32,000,68.32
2016-03-25,65.40,68.45,63.39,68.32,2478400,68.32
2016-03-24,68.50,68.60,66.00,66.18,1959700,66.18
2016-03-23,66.01,70.99,65.81,68.82,2010800,68.82
2016-03-22,66.41,68.50,66.38,66.63,1887300,66.63
2016-03-21,65.65,69.85,63.10,68.33,3531600,68.33
2016-03-18,59.15,65.58,58.93,65.54,3314500,65.54
2016-03-17,56.80,60.98,56.01,59.65,3030000,59.65
2016-03-16,59.37,59.70,55.35,57.02,2983600,57.02
2016-03-15,58.00,60.89,57.29,58.37,3934500,58.37
2016-03-14,52.20,55.35,51.80,55.35,1082500,55.35
2016-03-11,48.00,50.79,47.38,50.32,818000,50.32
2016-03-10,51.50,52.38,49.01,49.30,804100,49.30
2016-03-09,51.80,54.54,51.16,51.50,1089100,51.50
2016-03-08,50.80,54.00,47.06,53.27,1602200,53.27
2016-03-07,48.85,52.90,48.79,51.04,1125100,51.04
2016-03-04,50.01,51.25,47.00,48.23,788400,48.23
2016-03-03,50.50,53.85,50.50,50.91,1008800,50.91
2016-03-02,48.00,50.98,47.59,50.88,849500,50.88
2016-03-01,47.60,48.88,45.50,48.49,902600,48.49
2016-02-29,52.00,52.00,46.63,47.15,942000,47.15
2016-02-26,52.07,53.39,49.51,51.77,891500,51.77
2016-02-25,57.08,57.86,52.07,52.07,1313300,52.07
2016-02-24,58.02,59.27,55.96,57.86,1063200,57.86
2016-02-23,59.90,60.50,57.70,59.27,948900,59.27
2016-02-22,60.16,60.63,59.00,60.30,1175600,60.30
2016-02-19,58.66,60.26,58.01,59.19,1047100,59.19
2016-02-18,60.69,61.40,58.12,59.04,1383000,59.04
2016-02-17,58.90,61.20,58.01,60.30,1586900,60.30
2016-02-16,55.99,60.50,55.99,58.62,1597500,58.62
2016-02-15,54.00,57.59,52.30,56.33,1383300,56.33
2016-02-12,57.29,57.29,57.29,57.29,000,57.29
2016-02-11,57.29,57.29,57.29,57.29,000,57.29
2016-02-10,57.29,57.29,57.29,57.29,000,57.29
2016-02-09,57.29,57.29,57.29,57.29,000,57.29
2016-02-08,57.29,57.29,57.29,57.29,000,57.29
2016-02-05,59.80,62.57,56.55,57.29,2496000,57.29
2016-02-04,52.00,56.88,52.00,56.88,1081900,56.88
2016-02-03,50.00,52.21,49.25,51.71,1098100,51.71
2016-02-02,47.50,51.90,47.23,51.34,1351400,51.34
2016-02-01,49.30,50.19,45.00,47.27,933000,47.27
2016-01-29,47.20,50.35,46.33,49.61,1319800,49.61
2016-01-28,52.00,52.30,47.77,47.77,942900,47.77
2016-01-27,54.74,55.30,50.01,53.08,1072800,53.08
2016-01-26,59.06,60.20,54.74,54.74,1322600,54.74
2016-01-25,60.60,62.97,60.11,60.82,1454500,60.82
2016-01-22,60.00,60.70,57.00,60.29,1372900,60.29
2016-01-21,58.10,62.26,58.10,58.48,1788800,58.48
2016-01-20,59.00,61.98,58.60,59.88,1435700,59.88
2016-01-19,56.99,60.50,56.48,60.45,1628800,60.45
2016-01-18,53.01,58.60,53.01,57.41,1502400,57.41
2016-01-15,55.88,59.02,54.00,55.39,1773100,55.39
2016-01-14,49.99,57.30,48.50,55.85,1675800,55.85
2016-01-13,56.71,58.66,52.79,52.90,1383600,52.90
2016-01-12,55.00,58.55,52.03,56.49,1455600,56.49
2016-01-11,60.00,60.00,55.27,55.27,1138900,55.27
2016-01-08,62.90,63.68,55.96,61.41,1408800,61.41
2016-01-07,66.00,66.00,61.25,61.28,421800,61.28
2016-01-06,65.99,68.60,64.14,68.06,1545400,68.06
2016-01-05,63.00,69.00,61.68,65.44,1671300,65.44
2016-01-04,75.33,76.00,68.28,68.28,1334500,68.28
2016-01-01,75.87,75.87,75.87,75.87,000,75.87
2015-12-31,80.38,80.80,75.70,75.87,1384100,75.87
2015-12-30,79.92,80.94,79.10,80.07,935100,80.07
2015-12-29,81.60,81.80,78.00,79.73,1696400,79.73
2015-12-28,84.40,87.50,82.01,82.23,2107700,82.23
2015-12-24,78.01,81.70,78.00,81.12,1376200,81.12
2015-12-23,81.30,81.67,79.00,79.13,1356000,79.13
2015-12-22,78.78,82.83,78.70,81.53,1783900,81.53
2015-12-21,77.40,79.99,77.30,79.21,1405900,79.21
2015-12-18,80.05,80.78,77.81,78.10,1791500,78.10
2015-12-17,80.00,81.93,79.30,80.75,2001000,80.75
2015-12-16,77.19,79.57,76.80,78.42,1573300,78.42
2015-12-15,76.68,79.98,76.15,77.24,1772500,77.24
2015-12-14,72.02,76.78,72.02,75.93,2201800,75.93
2015-12-11,83.80,83.80,77.27,77.27,3700200,77.27
2015-12-10,86.19,87.80,85.35,85.85,1332700,85.85
2015-12-09,90.00,90.70,85.46,87.33,2143800,87.33
2015-12-08,88.50,93.67,87.20,91.13,2583100,91.13
2015-12-07,91.00,91.30,86.58,89.10,1753700,89.10
2015-12-04,90.00,95.00,89.00,90.16,2502600,90.16
2015-12-03,87.58,91.92,86.12,89.86,2072200,89.86
2015-12-02,90.00,90.90,81.85,87.94,2840000,87.94
2015-12-01,96.10,102.00,88.00,90.94,4256500,90.94
2015-11-30,88.10,97.24,88.00,97.24,4427000,97.24
2015-11-27,89.70,94.48,86.40,88.40,3152200,88.40
2015-11-26,90.27,98.50,90.00,90.94,3366000,90.94
2015-11-25,93.99,94.92,89.00,91.80,4845500,91.80
2015-11-24,84.99,92.54,84.99,92.54,5633800,92.54
2015-11-23,86.00,89.01,83.89,84.13,3770400,84.13
2015-11-20,93.00,93.01,88.21,90.24,3984900,90.24
2015-11-19,92.00,93.99,88.17,92.99,5028900,92.99
2015-11-18,99.00,99.00,89.03,89.84,5799900,89.84
2015-11-17,103.99,108.00,97.02,98.03,7125000,98.03
2015-11-16,92.60,103.95,92.60,103.95,7445800,103.95
2015-11-13,98.98,104.32,91.02,94.50,7879400,94.50
2015-11-12,94.83,94.84,94.83,94.84,1194000,94.84
2015-11-11,80.95,86.22,80.18,86.22,2926200,86.22
2015-11-10,72.98,78.38,72.20,78.38,4235900,78.38
2015-11-09,64.77,71.25,63.80,71.25,3732600,71.25
2015-11-06,59.81,65.56,59.81,64.77,3142800,64.77
2015-11-05,59.80,61.97,58.80,59.82,2028900,59.82
2015-11-04,58.60,60.80,58.10,60.24,2133200,60.24
2015-11-03,57.16,59.58,56.66,58.18,2644300,58.18
2015-11-02,54.80,60.89,54.00,57.53,3494400,57.53
2015-10-30,52.18,58.08,51.32,55.61,2415300,55.61
2015-10-29,51.95,53.55,50.51,53.08,2026200,53.08
2015-10-28,53.81,54.50,51.47,51.57,2281600,51.57
2015-10-27,51.50,54.49,49.51,54.06,2521600,54.06
2015-10-26,50.62,53.82,48.99,52.75,2888200,52.75
2015-10-23,48.30,49.29,47.70,48.95,1779900,48.95
2015-10-22,46.00,48.12,45.40,47.69,1797700,47.69
2015-10-21,50.80,50.82,46.28,46.28,2639100,46.28
2015-10-20,49.05,53.77,48.78,51.42,3033100,51.42
2015-10-19,50.48,50.89,48.18,49.55,2123600,49.55
2015-10-16,51.00,52.68,48.58,50.15,2650200,50.15
2015-10-15,45.80,50.56,44.88,50.56,2988900,50.56
2015-10-14,44.12,47.58,43.88,45.96,2405000,45.96
2015-10-13,43.03,46.95,42.48,44.12,3299900,44.12
2015-10-12,39.30,43.03,39.13,43.03,1567400,43.03
2015-10-09,37.87,39.36,37.68,39.12,1612500,39.12
2015-10-08,36.80,38.96,36.80,37.94,1670400,37.94
2015-10-07,35.67,35.67,35.67,35.67,000,35.67
2015-10-06,35.67,35.67,35.67,35.67,000,35.67
2015-10-05,35.67,35.67,35.67,35.67,000,35.67
2015-10-02,35.67,35.67,35.67,35.67,000,35.67
2015-10-01,35.67,35.67,35.67,35.67,000,35.67
2015-09-30,35.99,36.60,35.30,35.67,677500,35.67
2015-09-29,35.90,36.95,35.25,35.92,1055100,35.92
2015-09-28,34.95,36.89,34.06,36.71,1272200,36.71
2015-09-25,37.10,37.39,34.57,34.66,1514000,34.66
2015-09-24,37.38,38.99,36.77,37.39,1859900,37.39
2015-09-23,36.08,38.10,35.90,37.34,1957300,37.34
2015-09-22,37.32,37.85,35.82,37.05,2380100,37.05
2015-09-21,34.70,38.25,34.03,37.12,2488400,37.12
2015-09-18,34.18,35.91,33.88,35.52,2435900,35.52
2015-09-17,33.48,36.18,32.62,33.56,2650100,33.56
2015-09-16,30.80,33.31,30.50,33.31,2019700,33.31
2015-09-15,31.31,33.26,30.28,30.28,1985800,30.28
2015-09-14,38.80,39.90,33.40,33.64,3714600,33.64
2015-09-11,34.19,37.07,33.78,37.07,1963300,37.07
2015-09-10,33.80,34.58,33.50,33.70,1149300,33.70
2015-09-09,33.37,35.46,33.00,34.92,1968500,34.92
2015-09-08,30.30,33.40,29.75,33.19,1461800,33.19
2015-09-07,29.85,31.40,29.81,30.36,1221600,30.36
2015-09-04,29.17,29.17,29.17,29.17,000,29.17
2015-09-03,29.17,29.17,29.17,29.17,000,29.17
2015-09-02,29.73,33.14,29.02,29.17,2007800,29.17
2015-09-01,34.80,35.00,32.10,32.10,1368500,32.10
2015-08-31,38.28,38.95,35.67,35.67,1290300,35.67
2015-08-28,38.50,39.88,37.00,39.63,1782200,39.63
2015-08-27,36.90,37.80,34.40,37.22,1795900,37.22
2015-08-26,37.00,39.81,35.00,36.11,2468700,36.11
2015-08-25,37.05,39.15,37.05,37.05,2001700,37.05
2015-08-24,41.17,41.17,41.17,41.17,396900,41.17
2015-08-21,48.10,48.70,45.18,45.74,1278600,45.74
2015-08-20,51.70,52.86,49.40,49.54,1166400,49.54
2015-08-19,49.55,52.88,46.81,52.20,1946400,52.20
2015-08-18,57.76,58.39,51.99,51.99,2399900,51.99
2015-08-17,60.40,60.46,57.00,57.77,1938300,57.77
2015-08-14,60.66,61.17,58.87,60.33,2996100,60.33
2015-08-13,56.88,60.00,56.70,59.96,2213300,59.96
2015-08-12,59.65,60.00,57.40,57.59,2677600,57.59
2015-08-11,58.88,62.30,57.90,60.63,3511700,60.63
2015-08-10,56.00,59.49,54.89,58.85,3212400,58.85
2015-08-07,53.87,55.80,53.35,55.20,2650400,55.20
2015-08-06,55.60,56.50,52.63,53.01,2812500,53.01
2015-08-05,56.00,59.56,55.36,56.98,3571300,56.98
2015-08-04,54.40,56.99,51.60,56.89,3431000,56.89
2015-08-03,58.25,59.80,54.40,54.40,4468700,54.40
2015-07-31,59.90,65.50,58.00,60.49,5517500,60.49
2015-07-30,59.50,66.99,59.05,62.20,5816200,62.20
2015-07-29,57.80,61.19,50.50,61.19,5642200,61.19
2015-07-28,49.50,58.48,49.50,55.62,5246600,55.62
2015-07-27,56.63,63.60,53.70,53.70,6706400,53.70
2015-07-24,58.10,63.04,58.00,59.67,8064700,59.67
2015-07-23,51.73,57.31,51.71,57.31,4142600,57.31
2015-07-22,51.50,53.14,50.40,52.10,3517700,52.10
2015-07-21,48.52,53.28,47.70,51.74,3753300,51.74
2015-07-20,50.00,51.80,48.01,49.95,3225400,49.95
2015-07-17,46.50,50.30,46.50,49.77,2954000,49.77
2015-07-16,43.61,49.79,42.96,46.38,3849100,46.38
2015-07-15,50.00,51.00,47.73,47.73,3389100,47.73
2015-07-14,49.30,53.30,48.48,53.03,7057600,53.03
2015-07-13,48.48,48.48,47.15,48.48,3360700,48.48
2015-07-10,42.50,44.07,41.50,44.07,1453700,44.07
2015-07-09,32.82,40.06,32.82,40.06,4111700,40.06
2015-07-08,36.42,36.42,36.42,36.42,429800,36.42
2015-07-07,43.00,44.30,40.47,40.47,2404200,40.47
2015-07-06,44.99,44.99,40.70,44.97,6443200,44.97
2015-07-03,43.89,46.70,40.60,40.90,3583000,40.90
2015-07-02,48.17,50.18,45.04,45.04,4792400,45.04
2015-07-01,53.21,59.98,50.04,50.04,6780500,50.04
2015-06-30,50.27,58.68,50.27,55.60,7439400,55.60
2015-06-29,56.51,59.00,55.85,55.85,1720600,55.85
2015-06-26,64.15,64.88,62.06,62.06,3037200,62.06
2015-06-25,75.00,79.79,68.70,68.95,11528700,68.95
