序号,代码,名称,相关链接,最新价,涨跌额,涨跌幅,振幅,成交量(手),成交额(万),昨收,今开,最高,最低,5分钟涨跌,加自选
21,300248,新开普,股吧 资金流 研报,26.58,0.70,2.70%,4.48%,70257,18491,25.88,25.50,26.66,25.50,0.23%,
22,300467,迅游科技,股吧 资金流 研报,58.12,1.53,2.70%,4.93%,26191,15076,56.59,55.60,58.39,55.60,0.24%,
23,603636,南威软件,股吧 资金流 研报,57.15,1.48,2.66%,4.49%,18296,10279,55.67,55.38,57.22,54.72,0.46%,
24,300075,数字政通,股吧 资金流 研报,20.95,0.54,2.65%,5.14%,85900,17778,20.41,20.12,21.05,20.00,0.10%,
25,300168,万达信息,股吧 资金流 研报,24.53,0.61,2.55%,4.52%,281347,68402,23.92,23.70,24.65,23.57,0.04%,
26,600536,中国软件,股吧 资金流 研报,25.12,0.62,2.53%,3.71%,88275,21905,24.50,24.51,25.15,24.24,0.36%,
27,300047,天源迪科,股吧 资金流 研报,17.44,0.43,2.53%,4.23%,90967,15609,17.01,16.95,17.44,16.72,0.29%,
28,300300,汉鼎股份,股吧 资金流 研报,26.13,0.64,2.51%,3.73%,37726,9671,25.49,25.19,26.13,25.18,0.23%,
29,002174,游族网络,股吧 资金流 研报,34.67,0.82,2.42%,4.55%,188228,65564,33.85,33.96,35.49,33.95,0.29%,
30,600446,金证股份,股吧 资金流 研报,31.00,0.71,2.34%,3.47%,290180,89338,30.29,30.30,31.15,30.10,0.10%,
31,300302,同有科技,股吧 资金流 研报,49.62,1.12,2.31%,6.16%,30787,15135,48.50,48.30,49.99,47.00,0.30%,
32,300448,浩云科技,股吧 资金流 研报,73.20,1.60,2.23%,3.81%,10166,7352,71.60,71.28,73.26,70.53,0.25%,
33,300170,汉得信息,股吧 资金流 研报,13.38,0.28,2.14%,3.82%,157010,20767,13.10,13.00,13.38,12.88,0.22%,
34,300365,恒华科技,股吧 资金流 研报,31.65,0.65,2.10%,6.03%,21054,6654,31.00,31.45,31.98,30.11,0.48%,
35,600476,湘邮科技,股吧 资金流 研报,33.53,0.68,2.07%,3.26%,16062,5316,32.85,32.65,33.55,32.48,0.21%,
36,600728,佳都科技,股吧 资金流 研报,26.35,0.52,2.01%,6.12%,170535,43609,25.83,25.76,26.40,24.82,0.19%,
37,002280,联络互动,股吧 资金流 研报,19.71,0.38,1.97%,4.97%,261230,50973,19.33,19.18,19.76,18.80,0.41%,
38,002253,川大智胜,股吧 资金流 研报,57.72,1.11,1.96%,4.73%,81532,46832,56.61,56.41,58.50,55.82,0.73%,
39,002368,太极股份,股吧 资金流 研报,32.41,0.62,1.95%,3.24%,38822,12467,31.79,31.49,32.49,31.46,0.03%,
40,300386,飞天诚信,股吧 资金流 研报,43.19,0.79,1.86%,4.20%,43106,18444,42.40,41.90,43.40,41.62,0.33%,
