Date,Open,High,Low,Close,Volume,Adj Close
2016-04-22,75.550003,75.599998,75.449997,75.519997,1171000,75.519997
2016-04-21,75.519997,75.620003,75.50,75.599998,953000,75.599998
2016-04-20,75.470001,75.620003,75.440002,75.519997,1125700,75.519997
2016-04-19,75.50,75.57,75.43,75.50,1648200,75.50
2016-04-18,75.50,75.599998,75.470001,75.50,1411800,75.50
2016-04-15,75.599998,75.800003,75.459999,75.540001,1104500,75.540001
2016-04-14,75.620003,75.620003,75.389999,75.489998,1266200,75.489998
2016-04-13,75.629997,75.669998,75.459999,75.599998,1112400,75.599998
2016-04-12,75.660004,75.739998,75.580002,75.580002,981100,75.580002
2016-04-11,75.739998,75.75,75.599998,75.629997,861200,75.629997
2016-04-08,75.82,75.900002,75.639999,75.739998,1010400,75.739998
2016-04-07,75.599998,75.879997,75.589996,75.809998,1077900,75.809998
2016-04-06,75.68,75.889999,75.639999,75.809998,848900,75.809998
2016-04-05,75.489998,75.970001,75.400002,75.769997,1133900,75.769997
2016-04-04,75.529999,75.650002,75.309998,75.459999,1752400,75.459999
2016-04-01,75.620003,75.739998,75.459999,75.559998,1432100,75.559998
2016-03-31,75.800003,75.830002,75.540001,75.550003,1691400,75.550003
2016-03-30,75.830002,75.989998,75.68,75.699997,3024700,75.699997
2016-03-29,75.400002,75.519997,75.300003,75.459999,1624100,75.459999
2016-03-28,75.25,75.50,75.209999,75.459999,1522200,75.459999
2016-03-24,75.00,75.25,74.980003,75.239998,1710900,75.239998
2016-03-23,75.25,75.25,74.940002,75.00,1545900,75.00
2016-03-22,75.00,75.290001,75.00,75.25,1306300,75.25
2016-03-21,74.989998,75.00,74.940002,75.00,1366300,75.00
2016-03-18,74.989998,75.00,74.800003,74.93,1911800,74.93
2016-03-17,74.949997,75.040001,74.870003,74.919998,825300,74.919998
2016-03-16,74.620003,75.18,74.510002,75.050003,2355300,75.050003
2016-03-15,74.900002,75.07,74.50,74.870003,1951400,74.870003
2016-03-14,75.199997,75.339996,75.120003,75.199997,1636600,75.199997
2016-03-11,75.010002,75.199997,74.940002,75.129997,1278600,75.129997
2016-03-10,74.800003,74.970001,74.75,74.93,1284700,74.93
2016-03-09,74.75,74.860001,74.529999,74.830002,1402400,74.830002
