Date,Open,High,Low,Close,Volume,Adj Close
2016-04-22,1.60,1.70,1.55,1.68,360800,1.68
2016-04-21,1.72,1.74,1.55,1.57,523600,1.57
2016-04-20,1.72,1.74,1.70,1.72,45500,1.72
2016-04-19,1.70,1.74,1.69,1.73,74400,1.73
2016-04-18,1.67,1.75,1.65,1.70,164000,1.70
2016-04-15,1.69,1.73,1.60,1.65,196600,1.65
2016-04-14,1.63,1.67,1.63,1.66,29900,1.66
2016-04-13,1.61,1.65,1.61,1.63,32200,1.63
2016-04-12,1.69,1.69,1.59,1.62,47000,1.62
2016-04-11,1.66,1.69,1.62,1.62,24800,1.62
2016-04-08,1.67,1.69,1.64,1.66,37400,1.66
2016-04-07,1.60,1.68,1.60,1.67,87300,1.67
2016-04-06,1.60,1.65,1.59,1.63,124700,1.63
2016-04-05,1.57,1.70,1.55,1.61,153700,1.61
2016-04-04,1.63,1.63,1.56,1.57,48300,1.57
2016-04-01,1.68,1.70,1.62,1.62,61300,1.62
2016-03-31,1.74,1.75,1.71,1.71,36500,1.71
2016-03-30,1.62,1.75,1.62,1.72,156800,1.72
2016-03-29,1.62,1.65,1.55,1.65,109800,1.65
2016-03-28,1.64,1.66,1.59,1.65,89600,1.65
2016-03-24,1.54,1.67,1.53,1.64,287800,1.64
2016-03-23,1.60,1.60,1.55,1.56,45300,1.56
2016-03-22,1.59,1.60,1.56,1.60,41600,1.60
2016-03-21,1.55,1.60,1.55,1.57,34000,1.57
2016-03-18,1.56,1.60,1.54,1.54,22600,1.54
2016-03-17,1.58,1.59,1.54,1.55,23500,1.55
2016-03-16,1.58,1.60,1.55,1.58,22200,1.58
2016-03-15,1.58,1.59,1.53,1.57,42600,1.57
2016-03-14,1.55,1.60,1.53,1.57,72600,1.57
2016-03-11,1.59,1.60,1.52,1.54,119200,1.54
2016-03-10,1.62,1.62,1.58,1.60,114200,1.60
2016-03-09,1.56,1.65,1.56,1.63,70600,1.63
2016-03-08,1.63,1.63,1.54,1.56,132000,1.56
2016-03-07,1.56,1.65,1.51,1.63,293500,1.63
2016-03-04,1.50,1.58,1.49,1.54,743500,1.54
2016-03-03,1.49,1.50,1.48,1.50,108300,1.50
2016-03-02,1.49,1.50,1.49,1.50,86500,1.50
2016-03-01,1.50,1.50,1.48,1.50,43300,1.50
2016-02-29,1.42,1.50,1.42,1.49,105500,1.49
2016-02-26,1.42,1.45,1.42,1.44,57800,1.44
2016-02-25,1.42,1.45,1.42,1.43,22500,1.43
2016-02-24,1.45,1.46,1.42,1.43,90200,1.43
2016-02-23,1.50,1.50,1.45,1.45,68200,1.45
2016-02-22,1.48,1.50,1.48,1.49,37300,1.49
2016-02-19,1.48,1.50,1.47,1.48,50100,1.48
2016-02-18,1.46,1.50,1.45,1.50,51900,1.50
2016-02-17,1.45,1.48,1.44,1.46,45800,1.46
2016-02-16,1.39,1.49,1.39,1.46,51800,1.46
2016-02-12,1.41,1.41,1.38,1.40,31000,1.40
2016-02-11,1.41,1.42,1.39,1.40,53000,1.40
2016-02-10,1.42,1.44,1.40,1.43,35700,1.43
2016-02-09,1.48,1.48,1.39,1.42,91900,1.42
2016-02-08,1.45,1.48,1.44,1.48,31800,1.48
2016-02-05,1.48,1.50,1.41,1.43,123400,1.43
2016-02-04,1.45,1.52,1.45,1.49,104800,1.49
2016-02-03,1.46,1.48,1.45,1.47,44800,1.47
2016-02-02,1.53,1.54,1.47,1.48,150800,1.48
2016-02-01,1.53,1.63,1.53,1.56,77900,1.56
2016-01-29,1.50,1.54,1.50,1.53,33300,1.53
2016-01-28,1.52,1.52,1.48,1.49,35200,1.49
2016-01-27,1.52,1.52,1.47,1.51,33100,1.51
2016-01-26,1.48,1.53,1.45,1.52,49600,1.52
2016-01-25,1.52,1.54,1.45,1.45,50600,1.45
2016-01-22,1.45,1.54,1.43,1.54,71200,1.54
2016-01-21,1.42,1.54,1.39,1.43,161000,1.43
2016-01-20,1.49,1.49,1.40,1.42,142400,1.42
2016-01-19,1.51,1.51,1.48,1.49,37800,1.49
2016-01-15,1.51,1.57,1.45,1.48,137600,1.48
2016-01-14,1.43,1.56,1.40,1.56,367000,1.56
2016-01-13,1.48,1.49,1.42,1.42,73100,1.42
2016-01-12,1.49,1.56,1.48,1.48,36800,1.48
2016-01-11,1.55,1.55,1.50,1.50,184900,1.50
2016-01-08,1.56,1.59,1.53,1.55,78000,1.55
2016-01-07,1.58,1.60,1.55,1.56,165600,1.56
2016-01-06,1.67,1.67,1.61,1.61,50900,1.61
2016-01-05,1.64,1.70,1.62,1.65,116100,1.65
2016-01-04,1.65,1.65,1.59,1.62,439300,1.62
2015-12-31,1.75,1.76,1.70,1.74,158600,1.74
2015-12-30,1.80,1.80,1.75,1.77,289900,1.77
2015-12-29,1.95,1.99,1.84,1.87,219800,1.87
2015-12-28,1.96,2.03,1.93,1.98,240400,1.98
2015-12-24,1.92,2.11,1.85,1.96,522400,1.96
2015-12-23,1.59,1.98,1.59,1.91,1256400,1.91
2015-12-22,1.52,1.59,1.52,1.57,132700,1.57
2015-12-21,1.51,1.55,1.51,1.53,68200,1.53
2015-12-18,1.50,1.57,1.50,1.51,236100,1.51
2015-12-17,1.51,1.60,1.51,1.55,102900,1.55
2015-12-16,1.53,1.53,1.50,1.52,68600,1.52
2015-12-15,1.54,1.57,1.50,1.54,143000,1.54
2015-12-14,1.56,1.56,1.48,1.54,140200,1.54
2015-12-11,1.52,1.57,1.52,1.56,125100,1.56
2015-12-10,1.56,1.60,1.55,1.57,95000,1.57
2015-12-09,1.51,1.55,1.50,1.55,98600,1.55
2015-12-08,1.48,1.52,1.48,1.50,132000,1.50
2015-12-07,1.51,1.55,1.49,1.50,167900,1.50
2015-12-04,1.55,1.57,1.49,1.50,204300,1.50
2015-12-03,1.61,1.66,1.58,1.58,136100,1.58
2015-12-02,1.59,1.69,1.58,1.66,120800,1.66
2015-12-01,1.51,1.73,1.48,1.60,394500,1.60
2015-11-30,1.65,1.66,1.52,1.58,218500,1.58
2015-11-27,1.74,1.74,1.65,1.68,229000,1.68
2015-11-25,1.62,1.69,1.59,1.67,207500,1.67
2015-11-24,1.55,1.69,1.54,1.60,207100,1.60
2015-11-23,1.58,1.58,1.53,1.54,229600,1.54
2015-11-20,1.73,1.73,1.55,1.59,481400,1.59
2015-11-19,1.80,1.83,1.74,1.74,143300,1.74
2015-11-18,1.91,1.93,1.73,1.80,373500,1.80
2015-11-17,2.02,2.08,1.94,1.99,126300,1.99
2015-11-16,1.92,2.03,1.91,2.00,105300,2.00
2015-11-13,1.97,2.02,1.92,1.95,72500,1.95
2015-11-12,2.02,2.04,1.93,1.96,213800,1.96
2015-11-11,2.12,2.14,2.02,2.02,96900,2.02
2015-11-10,2.17,2.17,2.12,2.12,35100,2.12
2015-11-09,2.20,2.21,2.16,2.19,78800,2.19
2015-11-06,2.18,2.24,2.10,2.22,107100,2.22
2015-11-05,2.32,2.33,2.17,2.18,143900,2.18
2015-11-04,2.25,2.35,2.25,2.32,113400,2.32
2015-11-03,2.35,2.40,2.30,2.34,211300,2.34
2015-11-02,2.31,2.35,2.27,2.34,104500,2.34
2015-10-30,2.17,2.32,2.16,2.27,125100,2.27
2015-10-29,2.15,2.20,2.14,2.16,167400,2.16
2015-10-28,2.09,2.17,2.04,2.14,137100,2.14
2015-10-27,2.03,2.10,2.03,2.10,97800,2.10
2015-10-26,2.03,2.10,2.02,2.06,100800,2.06
2015-10-23,2.04,2.07,2.01,2.05,98700,2.05
2015-10-22,2.07,2.09,2.01,2.03,96400,2.03
2015-10-21,2.17,2.17,2.05,2.08,196700,2.08
2015-10-20,2.13,2.20,2.09,2.14,114500,2.14
2015-10-19,2.14,2.15,2.03,2.13,160100,2.13
2015-10-16,2.10,2.15,2.08,2.13,167200,2.13
2015-10-15,2.01,2.16,2.00,2.08,291300,2.08
2015-10-14,1.93,2.03,1.91,2.01,130900,2.01
2015-10-13,2.02,2.02,1.88,1.97,410400,1.97
2015-10-12,2.06,2.06,1.88,2.02,370500,2.02
2015-10-09,2.13,2.14,1.97,2.04,412200,2.04
2015-10-08,2.18,2.26,2.10,2.11,137300,2.11
2015-10-07,1.96,2.23,1.94,2.22,318900,2.22
2015-10-06,1.90,1.98,1.87,1.91,192500,1.91
2015-10-05,1.83,1.94,1.83,1.88,265900,1.88
2015-10-02,1.83,1.89,1.81,1.82,313000,1.82
2015-10-01,1.94,1.95,1.80,1.84,93800,1.84
2015-09-30,1.97,2.00,1.95,1.95,57900,1.95
2015-09-29,2.01,2.02,1.96,1.96,67400,1.96
2015-09-28,2.08,2.09,2.01,2.02,56000,2.02
2015-09-25,2.16,2.16,2.06,2.09,26500,2.09
2015-09-24,2.03,2.12,2.00,2.12,51800,2.12
2015-09-23,2.09,2.10,2.02,2.07,78000,2.07
2015-09-22,2.26,2.31,2.00,2.08,275100,2.08
2015-09-21,2.28,2.34,2.25,2.32,44800,2.32
2015-09-18,2.31,2.31,2.23,2.31,199400,2.31
2015-09-17,2.32,2.35,2.28,2.31,59700,2.31
2015-09-16,2.27,2.38,2.27,2.32,48900,2.32
2015-09-15,2.28,2.29,2.23,2.26,39200,2.26
2015-09-14,2.39,2.39,2.25,2.25,224000,2.25
2015-09-11,2.35,2.38,2.29,2.38,36700,2.38
2015-09-10,2.32,2.44,2.30,2.34,347900,2.34
2015-09-09,2.49,2.49,2.31,2.35,74900,2.35
2015-09-08,2.49,2.50,2.37,2.42,102000,2.42
2015-09-04,2.44,2.44,2.33,2.40,38000,2.40
2015-09-03,2.38,2.43,2.38,2.42,45300,2.42
2015-09-02,2.38,2.40,2.35,2.38,40200,2.38
2015-09-01,2.40,2.47,2.32,2.39,219600,2.39
2015-08-31,2.48,2.49,2.39,2.46,90000,2.46
2015-08-28,2.46,2.54,2.45,2.49,157800,2.49
2015-08-27,2.35,2.52,2.33,2.45,221500,2.45
2015-08-26,2.41,2.44,2.25,2.31,278300,2.31
2015-08-25,2.57,2.57,2.36,2.42,178100,2.42
2015-08-24,2.46,2.50,2.34,2.37,440700,2.37
2015-08-21,2.67,2.73,2.56,2.56,311500,2.56
2015-08-20,2.80,2.89,2.67,2.67,286100,2.67
2015-08-19,3.00,3.05,2.83,2.84,288500,2.84
2015-08-18,3.13,3.15,3.01,3.01,272000,3.01
2015-08-17,3.13,3.20,3.13,3.18,98900,3.18
2015-08-14,3.35,3.47,3.13,3.19,615300,3.19
2015-08-13,3.21,3.65,3.21,3.52,346300,3.52
2015-08-12,3.37,3.43,3.25,3.26,254600,3.26
2015-08-11,3.55,3.63,3.43,3.45,164700,3.45
2015-08-10,3.32,3.56,3.26,3.55,153200,3.55
2015-08-07,3.20,3.29,3.18,3.25,76200,3.25
2015-08-06,3.16,3.25,3.15,3.21,54700,3.21
2015-08-05,3.21,3.29,3.20,3.25,81000,3.25
2015-08-04,3.24,3.42,3.17,3.19,148600,3.19
2015-08-03,3.57,3.66,3.18,3.19,250400,3.19
2015-07-31,3.47,3.63,3.41,3.59,214900,3.59
2015-07-30,3.36,3.48,3.34,3.45,121400,3.45
2015-07-29,3.38,3.44,3.34,3.37,245200,3.37
2015-07-28,3.34,3.43,3.31,3.40,43500,3.40
2015-07-27,3.27,3.38,3.15,3.35,305900,3.35
2015-07-24,3.45,3.45,3.32,3.36,99400,3.36
2015-07-23,3.44,3.49,3.44,3.45,54900,3.45
2015-07-22,3.39,3.47,3.35,3.44,76500,3.44
2015-07-21,3.45,3.48,3.34,3.38,235500,3.38
2015-07-20,3.47,3.64,3.47,3.47,311200,3.47
2015-07-17,3.55,3.57,3.41,3.47,325100,3.47
2015-07-16,3.67,3.75,3.43,3.57,1289700,3.57
2015-07-15,3.01,3.13,3.00,3.01,87900,3.01
2015-07-14,3.18,3.23,3.06,3.10,213600,3.10
2015-07-13,3.25,3.33,3.15,3.19,143800,3.19
2015-07-10,3.55,3.55,3.14,3.23,306300,3.23
2015-07-09,3.16,3.42,3.11,3.32,847500,3.32
2015-07-08,2.76,2.78,2.51,2.72,1185600,2.72
2015-07-07,3.30,3.30,2.55,2.84,1783000,2.84
2015-07-06,3.93,3.93,3.29,3.35,920400,3.35
2015-07-02,4.11,4.25,3.96,3.98,228500,3.98
2015-07-01,4.15,4.27,4.11,4.12,137500,4.12
2015-06-30,3.98,4.32,3.97,4.15,409300,4.15
2015-06-29,3.90,4.37,3.85,4.26,1029300,4.26
2015-06-26,4.15,4.15,3.76,3.97,572800,3.97
2015-06-25,4.44,4.44,4.12,4.16,167300,4.16
2015-06-24,4.34,4.37,4.10,4.34,510100,4.34
2015-06-23,4.34,4.43,4.32,4.37,111200,4.37
2015-06-22,4.51,4.60,4.33,4.35,247600,4.35
2015-06-19,4.59,4.66,4.45,4.52,204000,4.52
2015-06-18,4.63,4.67,4.41,4.61,304900,4.61
2015-06-17,4.43,4.75,4.43,4.64,435900,4.64
2015-06-16,4.46,4.53,4.31,4.42,302500,4.42
2015-06-15,4.61,4.61,4.30,4.48,408900,4.48
2015-06-12,4.44,4.64,4.32,4.60,593000,4.60
2015-06-11,4.61,4.65,4.45,4.47,572800,4.47
2015-06-10,4.88,4.88,4.62,4.65,458700,4.65
2015-06-09,4.38,4.97,4.26,4.90,890500,4.90
2015-06-08,4.85,5.00,4.74,4.78,332200,4.78
2015-06-05,4.82,4.99,4.61,4.92,356800,4.92
2015-06-04,4.88,4.97,4.67,4.85,354200,4.85
2015-06-03,5.00,5.10,4.79,4.88,372500,4.88
2015-06-02,4.96,5.19,4.84,4.98,406800,4.98
2015-06-01,4.97,5.03,4.86,4.95,327900,4.95
2015-05-29,5.20,5.27,4.91,5.00,528500,5.00
2015-05-28,4.90,5.05,4.70,4.99,561000,4.99
2015-05-27,4.99,5.01,4.92,4.99,181600,4.99
2015-05-26,5.25,5.27,4.83,5.00,408000,5.00
2015-05-22,4.90,5.18,4.90,5.08,760800,5.08
2015-05-21,4.90,5.07,4.86,4.90,529200,4.90
2015-05-20,4.97,5.35,4.83,4.91,1339500,4.91
2015-05-19,4.77,5.15,4.65,4.98,1004500,4.98
2015-05-18,4.44,4.82,4.20,4.82,1152300,4.82
2015-05-15,4.41,4.43,4.36,4.42,161900,4.42
2015-05-14,4.18,4.46,4.16,4.43,255600,4.43
2015-05-13,4.35,4.55,4.22,4.27,404200,4.27
2015-05-12,4.43,4.43,4.31,4.38,87600,4.38
2015-05-11,4.26,4.47,4.20,4.43,519800,4.43
2015-05-08,4.27,4.33,4.25,4.30,63200,4.30
2015-05-07,4.23,4.29,4.23,4.27,57600,4.27
2015-05-06,4.25,4.32,4.20,4.24,171700,4.24
2015-05-05,4.32,4.32,4.25,4.28,146500,4.28
2015-05-04,4.25,4.47,4.25,4.31,262700,4.31
2015-05-01,4.39,4.39,4.23,4.25,57800,4.25
2015-04-30,4.36,4.44,4.22,4.42,231900,4.42
2015-04-29,4.31,4.39,4.22,4.35,105400,4.35
2015-04-28,4.03,4.45,4.01,4.32,373200,4.32
2015-04-27,4.37,4.39,4.20,4.24,99700,4.24
2015-04-24,4.31,4.33,4.19,4.25,176500,4.25
2015-04-23,4.02,4.34,3.93,4.34,304600,4.34
2015-04-22,3.85,4.17,3.85,4.00,508400,4.00
2015-04-21,3.80,3.84,3.69,3.81,259400,3.81
2015-04-20,3.94,3.94,3.75,3.80,150800,3.80
2015-04-17,3.95,3.97,3.83,3.93,91800,3.93
2015-04-16,3.90,4.10,3.88,3.94,370500,3.94
2015-04-15,3.85,3.89,3.81,3.88,335500,3.88
2015-04-14,3.77,3.88,3.73,3.86,143100,3.86
2015-04-13,3.89,3.97,3.76,3.79,263000,3.79
2015-04-10,3.95,4.00,3.85,3.86,197000,3.86
2015-04-09,3.93,4.00,3.91,3.95,393500,3.95
2015-04-08,3.72,4.00,3.72,3.93,375300,3.93
2015-04-07,3.82,3.84,3.70,3.74,295300,3.74
2015-04-06,3.79,3.84,3.70,3.82,230300,3.82
2015-04-02,3.74,3.86,3.73,3.82,103600,3.82
2015-04-01,3.68,3.86,3.68,3.75,133200,3.75
2015-03-31,3.68,3.72,3.68,3.69,111200,3.69
2015-03-30,3.70,3.71,3.68,3.69,91200,3.69
2015-03-27,3.73,3.73,3.69,3.70,57700,3.70
2015-03-26,3.70,3.75,3.70,3.71,91200,3.71
2015-03-25,3.66,3.79,3.64,3.71,222200,3.71
2015-03-24,3.62,3.81,3.50,3.65,230900,3.65
