Date,Open,High,Low,Close,Volume,Adj Close
2016-04-29,69.870003,70.059998,68.739998,69.459999,441600,69.459999
2016-04-28,69.50,70.330002,68.709999,68.809998,557700,68.809998
2016-04-27,68.559998,68.860001,68.160004,68.75,430300,68.75
2016-04-26,69.230003,69.260002,68.699997,68.93,349600,68.93
2016-04-25,69.169998,69.470001,68.82,69.059998,309900,69.059998
2016-04-22,69.410004,69.760002,68.870003,69.360001,366200,69.360001
2016-04-21,69.900002,70.389999,69.860001,70.080002,379700,70.080002
2016-04-20,69.010002,69.910004,68.75,69.629997,507300,69.629997
2016-04-19,69.830002,69.830002,68.43,68.959999,542100,68.959999
2016-04-18,69.18,70.120003,69.080002,70.120003,392700,70.120003
2016-04-15,69.519997,69.550003,69.120003,69.400002,196200,69.400002
2016-04-14,69.389999,69.849998,69.230003,69.519997,322200,69.519997
2016-04-13,68.190002,69.360001,68.160004,69.279999,547600,69.279999
2016-04-12,67.279999,67.75,66.660004,67.639999,469100,67.639999
2016-04-11,67.900002,68.239998,67.18,67.190002,328600,67.190002
2016-04-08,68.349998,68.370003,67.199997,67.599998,320100,67.599998
2016-04-07,68.68,68.839996,67.599998,67.900002,372700,67.900002
2016-04-06,68.040001,69.120003,68.040001,69.07,303300,69.07
2016-04-05,68.089996,68.400002,67.839996,67.980003,1397900,67.980003
2016-04-04,68.730003,68.879997,68.220001,68.480003,237500,68.480003
2016-04-01,67.809998,68.800003,67.790001,68.760002,440300,68.760002
2016-03-31,68.269997,68.669998,68.050003,68.290001,228400,68.290001
2016-03-30,68.50,68.940002,68.199997,68.339996,774600,68.339996
2016-03-29,66.669998,68.190002,66.379997,68.059998,521600,68.059998
2016-03-28,67.139999,67.139999,66.529999,66.779999,713800,66.779999
2016-03-24,66.519997,67.00,66.209999,66.989998,450900,66.989998
2016-03-23,67.650002,67.760002,66.760002,66.919998,278700,66.919998
2016-03-22,67.279999,67.970001,67.279999,67.699997,505000,67.699997
2016-03-21,67.330002,67.919998,67.290001,67.849998,246500,67.849998
2016-03-18,67.629997,67.629997,67.059998,67.419998,318600,67.419998
2016-03-17,67.239998,67.690002,66.949997,67.349998,412000,67.349998
2016-03-16,66.550003,67.50,66.470001,67.290001,463100,67.290001
2016-03-15,67.010002,67.010002,66.459999,66.830002,249600,66.830002
2016-03-14,66.989998,67.540001,66.980003,67.379997,301700,67.379997
