Date,Open,High,Low,Close,Volume,Adj Close
2016-04-29,104.900002,105.00,103.510002,104.410004,404500,104.410004
2016-04-28,106.93,107.440002,105.099998,105.370003,298800,105.370003
2016-04-27,106.010002,106.93,105.68,106.800003,348400,106.800003
2016-04-26,107.919998,108.239998,107.160004,107.580002,284600,107.580002
2016-04-25,107.599998,108.00,107.309998,107.769997,238500,107.769997
2016-04-22,108.059998,108.550003,107.32,107.980003,251000,107.980003
2016-04-21,109.82,110.080002,109.410004,109.620003,311900,109.620003
2016-04-20,109.449997,110.239998,109.160004,109.699997,416700,109.699997
2016-04-19,110.389999,110.389999,108.760002,109.43,547400,109.43
2016-04-18,109.110001,110.129997,109.110001,110.110001,263600,110.110001
2016-04-15,110.080002,110.199997,109.449997,109.550003,323500,109.550003
2016-04-14,110.190002,110.400002,109.690002,110.099998,235700,110.099998
2016-04-13,109.330002,110.370003,109.169998,110.260002,356600,110.260002
2016-04-12,108.18,108.68,107.239998,108.559998,245900,108.559998
2016-04-11,108.730003,109.529999,108.00,108.059998,263200,108.059998
2016-04-08,108.870003,109.279999,107.93,108.279999,213800,108.279999
2016-04-07,109.160004,109.209999,107.860001,108.25,216800,108.25
2016-04-06,108.779999,109.849998,108.309998,109.830002,233900,109.830002
2016-04-05,109.010002,109.370003,108.489998,108.639999,366900,108.639999
2016-04-04,110.309998,110.410004,109.610001,109.779999,464200,109.779999
2016-04-01,108.900002,110.379997,108.669998,110.360001,263200,110.360001
2016-03-31,109.550003,110.00,109.349998,109.529999,199100,109.529999
2016-03-30,109.529999,110.230003,109.309998,109.610001,290900,109.610001
2016-03-29,106.870003,108.989998,106.769997,108.870003,321300,108.870003
2016-03-28,107.50,107.610001,106.879997,107.050003,325800,107.050003
2016-03-24,106.699997,107.330002,106.449997,107.300003,436800,107.300003
2016-03-23,107.900002,107.900002,106.949997,107.150002,580500,107.150002
2016-03-22,107.43,108.360001,107.230003,107.989998,466800,107.989998
2016-03-21,107.389999,107.970001,107.290001,107.860001,652200,107.860001
2016-03-18,108.150002,108.190002,107.43,107.970001,345000,107.563
2016-03-17,106.779999,107.879997,106.779999,107.610001,271200,107.204356
